"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Engineering","Chemical Engineering.",NA,122239,"University of California-Berkeley"
"Engineering","Civil Engineering.",78142,104581,"University of California-Berkeley"
"Engineering","Civil Engineering.",NA,107621,"University of California-Berkeley"
"Engineering","Electrical, Electronics and Communications Engineering.",137295,240462,"University of California-Berkeley"
"Engineering","Mechanical Engineering.",88497,112325,"University of California-Berkeley"
"Engineering","Mechanical Engineering.",NA,135617,"University of California-Berkeley"
"Engineering","Engineering Science.",NA,86477,"Harvard University"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",NA,138934,"Massachusetts Institute of Technology"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",NA,155401,"Massachusetts Institute of Technology"
"Engineering","Biomedical/Medical Engineering.",70696,106402,"Massachusetts Institute of Technology"
"Engineering","Biomedical/Medical Engineering.",135551,170826,"Massachusetts Institute of Technology"
"Engineering","Chemical Engineering.",80139,124650,"Massachusetts Institute of Technology"
"Engineering","Civil Engineering.",88805,95276,"Massachusetts Institute of Technology"
"Engineering","Electrical, Electronics and Communications Engineering.",117345,190731,"Massachusetts Institute of Technology"
"Engineering","Electrical, Electronics and Communications Engineering.",149936,250263,"Massachusetts Institute of Technology"
"Engineering","Electrical, Electronics and Communications Engineering.",NA,156904,"Massachusetts Institute of Technology"
"Engineering","Materials Engineering",65919,98069,"Massachusetts Institute of Technology"
"Engineering","Mechanical Engineering.",83957,106765,"Massachusetts Institute of Technology"
"Engineering","Mechanical Engineering.",155889,159366,"Massachusetts Institute of Technology"
"Engineering","Mechanical Engineering.",NA,167643,"Massachusetts Institute of Technology"
"Engineering","Systems Engineering.",151271,194940,"Massachusetts Institute of Technology"
"Engineering","Computer Engineering.",NA,243825,"Princeton University"
"Engineering","Engineering, General.",NA,115100,"Cornell University"
"Engineering","Agricultural Engineering.",54435,102051,"Cornell University"
"Engineering","Biomedical/Medical Engineering.",78844,116678,"Cornell University"
"Engineering","Chemical Engineering.",85578,118510,"Cornell University"
"Engineering","Chemical Engineering.",NA,114309,"Cornell University"
"Engineering","Civil Engineering.",80261,100258,"Cornell University"
"Engineering","Civil Engineering.",81361,101581,"Cornell University"
"Engineering","Electrical, Electronics and Communications Engineering.",100516,131283,"Cornell University"
"Engineering","Electrical, Electronics and Communications Engineering.",123494,133541,"Cornell University"
"Engineering","Environmental/Environmental Health Engineering.",69558,87212,"Cornell University"
"Engineering","Materials Engineering",NA,107760,"Cornell University"
"Engineering","Mechanical Engineering.",85440,113983,"Cornell University"
"Engineering","Mechanical Engineering.",99587,119321,"Cornell University"
"Engineering","Systems Engineering.",117455,143008,"Cornell University"
"Engineering","Operations Research.",96377,151071,"Cornell University"
"Engineering","Operations Research.",125810,205185,"Cornell University"
"Engineering","Biomedical/Medical Engineering.",93310,121488,"University of Pennsylvania"
"Engineering","Biomedical/Medical Engineering.",89330,108865,"University of Pennsylvania"
"Engineering","Biomedical/Medical Engineering.",NA,137284,"University of Pennsylvania"
"Engineering","Chemical Engineering.",81721,154695,"University of Pennsylvania"
"Engineering","Materials Engineering",NA,98625,"University of Pennsylvania"
"Engineering","Mechanical Engineering.",66876,116366,"University of Pennsylvania"
"Engineering","Mechanical Engineering.",94109,113006,"University of Pennsylvania"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",111760,144702,"Stanford University"
"Engineering","Civil Engineering.",83740,122256,"Stanford University"
"Engineering","Electrical, Electronics and Communications Engineering.",NA,187527,"Stanford University"
"Engineering","Electrical, Electronics and Communications Engineering.",159472,230373,"Stanford University"
"Engineering","Electrical, Electronics and Communications Engineering.",NA,314606,"Stanford University"
"Engineering","Mechanical Engineering.",NA,140707,"Stanford University"
"Engineering","Mechanical Engineering.",121408,161655,"Stanford University"
"Engineering","Engineering, Other.",49741,122212,"Stanford University"
"Biological Sciences","Biology, General.",28242,75609,"UCLA"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",35210,76967,"UCLA"
"Biological Sciences","Biochemistry, Biophysics and Molecular Biology.",83835,134874,"UCLA"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",36945,64799,"UCLA"
"Biological Sciences","Microbiological Sciences and Immunology.",36403,77994,"UCLA"
"Biological Sciences","Physiology, Pathology and Related Sciences.",23151,77228,"UCLA"
"Biological Sciences","Neurobiology and Neurosciences.",30501,79689,"UCLA"
"Biological Sciences","Biology, General.",36642,76503,"University of California-Berkeley"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",43270,70181,"University of California-Berkeley"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",70631,120275,"University of California-Berkeley"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",58008,88262,"Yale University"
"Biological Sciences","Biology, General.",35275,68610,"University of Chicago"
"Biological Sciences","Biology, General.",74161,117155,"Harvard University"
"Biological Sciences","Cell/Cellular Biology and Anatomical Sciences.",51569,87380,"Harvard University"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",31999,77952,"Harvard University"
"Biological Sciences","Ecology, Evolution, Systematics, and Population Biology.",142377,208695,"Harvard University"
