"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",71594,77041,"University of North Carolina at Chapel Hill"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",99792,98399,"University of North Carolina at Chapel Hill"
"Nursing","Communication Disorders Sciences and Services.",NA,59354,"University of Virginia-Main Campus"
"Nursing","Communication Disorders Sciences and Services.",64510,72446,"University of Virginia-Main Campus"
"Nursing","Medicine.",67024,136935,"University of Virginia-Main Campus"
"Nursing","Public Health.",63861,78105,"University of Virginia-Main Campus"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",75220,82057,"University of Virginia-Main Campus"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",89572,107146,"University of Virginia-Main Campus"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",131091,117601,"University of Virginia-Main Campus"
"Business","Business Administration, Management and Operations.",172128,212869,"UCLA"
"Business","Business/Managerial Economics.",83604,118000,"UCLA"
"Business","Business Administration, Management and Operations.",90008,145003,"University of California-Berkeley"
"Business","Business Administration, Management and Operations.",NA,266651,"University of California-Berkeley"
"Business","Business Administration, Management and Operations.",120153,161298,"University of California-Davis"
"Business","Accounting and Related Services.",72371,93918,"University of California-Davis"
"Business","Business/Managerial Economics.",54546,91429,"University of California-Davis"
"Business","Business Administration, Management and Operations.",48786,89501,"University of California-Irvine"
"Business","Business Administration, Management and Operations.",119774,146412,"University of California-Irvine"
"Business","Accounting and Related Services.",70432,96025,"University of California-Irvine"
"Business","Business/Managerial Economics.",44277,74617,"University of California-Irvine"
"Business","Management Information Systems and Services.",68786,129344,"University of California-Irvine"
"Business","Business Administration, Management and Operations.",98870,156032,"University of California-San Diego"
"Business","Management Sciences and Quantitative Methods.",60973,86000,"University of California-San Diego"
"Business","Management Sciences and Quantitative Methods.",66099,98845,"University of California-Santa Barbara"
"Business","Business Administration, Management and Operations.",52032,73834,"University of Florida"
"Business","Business Administration, Management and Operations.",95217,130196,"University of Florida"
"Business","Accounting and Related Services.",65144,88563,"University of Florida"
"Business","Accounting and Related Services.",65973,110436,"University of Florida"
"Business","Entrepreneurial and Small Business Operations.",NA,71245,"University of Florida"
"Business","Finance and Financial Management Services.",70663,101867,"University of Florida"
"Business","Finance and Financial Management Services.",116367,142122,"University of Florida"
"Business","Management Sciences and Quantitative Methods.",60290,100320,"University of Florida"
"Business","Marketing.",56454,80633,"University of Florida"
"Business","Real Estate.",77016,117530,"University of Florida"
"Business","Business Administration, Management and Operations.",77610,113101,"University of Georgia"
"Business","Business Administration, Management and Operations.",56630,75756,"University of Georgia"
"Business","Business Administration, Management and Operations.",118821,156018,"University of Georgia"
"Business","Accounting and Related Services.",64058,91429,"University of Georgia"
"Business","Accounting and Related Services.",65934,103935,"University of Georgia"
"Business","Business/Managerial Economics.",53094,90785,"University of Georgia"
"Business","Finance and Financial Management Services.",67444,95338,"University of Georgia"
"Business","International Business.",67371,110872,"University of Georgia"
"Business","Management Information Systems and Services.",78190,111592,"University of Georgia"
"Business","Marketing.",51951,82677,"University of Georgia"
"Business","Marketing.",79634,107611,"University of Georgia"
"Business","Real Estate.",55655,87821,"University of Georgia"
"Business","Insurance.",64131,89304,"University of Georgia"
"Business","Specialized Sales, Merchandising and  Marketing Operations.",37643,56042,"University of Georgia"
"Business","Business Administration, Management and Operations.",68442,95310,"University of Illinois Urbana-Champaign"
"Business","Business Administration, Management and Operations.",118799,140412,"University of Illinois Urbana-Champaign"
"Business","Accounting and Related Services.",74731,96827,"University of Illinois Urbana-Champaign"
"Business","Accounting and Related Services.",NA,110257,"University of Illinois Urbana-Champaign"
"Business","Finance and Financial Management Services.",75381,118286,"University of Illinois Urbana-Champaign"
"Business","Human Resources Management and Services.",89637,124896,"University of Illinois Urbana-Champaign"
"Business","Management Information Systems and Services.",77572,115128,"University of Illinois Urbana-Champaign"
"Business","Management Sciences and Quantitative Methods.",72527,100568,"University of Illinois Urbana-Champaign"
"Business","Marketing.",69273,89257,"University of Illinois Urbana-Champaign"
"Business","Taxation.",NA,142692,"University of Illinois Urbana-Champaign"
"Business","Business Administration, Management and Operations.",85618,125645,"University of North Carolina at Chapel Hill"
"Business","Business Administration, Management and Operations.",156818,185724,"University of North Carolina at Chapel Hill"
"Business","Accounting and Related Services.",68449,104860,"University of North Carolina at Chapel Hill"
"Business","Human Resources Management and Services.",52217,66529,"University of North Carolina at Chapel Hill"
"Business","Business/Commerce, General.",NA,130586,"University of Virginia-Main Campus"
"Business","Business/Commerce, General.",159747,159466,"University of Virginia-Main Campus"
"Business","Business Administration, Management and Operations.",189494,233655,"University of Virginia-Main Campus"
"Business","Accounting and Related Services.",73793,110165,"University of Virginia-Main Campus"
"Engineering","Engineering, General.",135373,160755,"UCLA"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",71068,97069,"UCLA"
"Engineering","Biomedical/Medical Engineering.",57874,114571,"UCLA"
"Engineering","Chemical Engineering.",76680,105166,"UCLA"
"Engineering","Civil Engineering.",75510,102084,"UCLA"
"Engineering","Civil Engineering.",81415,100592,"UCLA"
"Engineering","Computer Engineering.",NA,191628,"UCLA"
"Engineering","Electrical, Electronics and Communications Engineering.",85369,127528,"UCLA"
"Engineering","Electrical, Electronics and Communications Engineering.",119390,144451,"UCLA"
"Engineering","Mechanical Engineering.",79016,108947,"UCLA"
"Engineering","Mechanical Engineering.",108892,133046,"UCLA"
"Engineering","Mechanical Engineering.",NA,165864,"UCLA"
"Engineering","Biomedical/Medical Engineering.",73348,89225,"University of California-Berkeley"
"Engineering","Chemical Engineering.",81553,126322,"University of California-Berkeley"
"Engineering","Chemical Engineering.",NA,122239,"University of California-Berkeley"
"Engineering","Civil Engineering.",78142,104581,"University of California-Berkeley"
"Engineering","Civil Engineering.",NA,107621,"University of California-Berkeley"
"Engineering","Electrical, Electronics and Communications Engineering.",137295,240462,"University of California-Berkeley"
"Engineering","Mechanical Engineering.",88497,112325,"University of California-Berkeley"
"Engineering","Mechanical Engineering.",NA,135617,"University of California-Berkeley"
"Engineering","Engineering, General.",82956,124810,"University of California-Davis"
"Engineering","Aerospace, Aeronautical and Astronautical Engineering.",71633,98457,"University of California-Davis"
