"program","CIPDESC","EARN_MDN_1YR","EARN_MDN_5YR","institution"
"Computer Science","Computer Software and Media Applications.",83476,66235,"University of Phoenix-California"
"Computer Science","Computer/Information Technology Administration and Management.",50255,58644,"University of Phoenix-California"
"Computer Science","Computer/Information Technology Administration and Management.",60401,69636,"University of Phoenix-California"
"Nursing","Dentistry.",78035,132919,"UCLA"
"Nursing","Medicine.",74916,178507,"UCLA"
"Nursing","Public Health.",75311,114617,"UCLA"
"Nursing","Public Health.",115362,133209,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",94611,123885,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",112065,127653,"UCLA"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",NA,106411,"Allan Hancock College"
"Nursing","Dental Support Services and Allied Professions.",24783,28661,"American Career College-Los Angeles"
"Nursing","Health and Medical Administrative Services.",32682,35471,"American Career College-Los Angeles"
"Nursing","Health and Medical Administrative Services.",NA,50026,"American Career College-Los Angeles"
"Nursing","Allied Health and Medical Assisting Services.",28853,32828,"American Career College-Los Angeles"
"Nursing","Allied Health and Medical Assisting Services.",48908,62254,"American Career College-Los Angeles"
"Nursing","Allied Health Diagnostic, Intervention, and Treatment Professions.",55379,56424,"American Career College-Los Angeles"
"Nursing","Ophthalmic and Optometric Support Services and Allied Professions.",27698,33331,"American Career College-Los Angeles"
"Nursing","Somatic Bodywork and Related Therapeutic Services.",NA,25146,"American Career College-Los Angeles"
"Nursing","Practical Nursing, Vocational Nursing and Nursing Assistants.",60281,59430,"American Career College-Los Angeles"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",98951,114068,"American River College"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",89234,104758,"Antelope Valley Community College District"
"Nursing","Allied Health and Medical Assisting Services.",16782,21769,"Associated Technical College-Los Angeles"
"Nursing","Health/Medical Preparatory Programs.",NA,79742,"Azusa Pacific University"
"Nursing","Rehabilitation and Therapeutic Professions.",82817,94392,"Azusa Pacific University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",105521,119455,"Azusa Pacific University"
"Nursing","Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",122638,137727,"Azusa Pacific University"
