"6_yr_median_earnings","10_yr_median_earnings","school_name","unitid","total_enrollment"
28145,29314,Ozarka College,107549,983
37651,44384,University of the Ozarks,107558,784
32571,34924,University of Arkansas Community College-Morrilton,107585,1888
25254,38427,Philander Smith University,107600,769
27083,29552,Phillips Community College of the University of Arkansas,107619,1234
29235,33603,Southeast Arkansas College,107637,898
17198,26754,University of Aesthetics & Cosmetology,107655,27
30437,34722,University of Arkansas-Pulaski Technical College,107664,4245
30007,34162,University of Arkansas Hope-Texarkana,107725,1188
22765,30037,University of Arkansas Community College Rich Mountain,107743,679
29106,20077,Paul Mitchell the School-Arkansas,107789,109
0,19896,Searcy Beauty College,107831,84
15710,0,Shorter College,107840,321
38067,38484,Williams Baptist University,107877,584
30240,34521,South Arkansas College,107974,1162
37008,42386,Southern Arkansas University Main Campus,107983,5094
31841,36376,Southern Arkansas University Tech,107992,943
14400,17412,Velvatex College of Beauty Culture,108065,14
35925,41102,University of Arkansas-Fort Smith,108092,5379
30452,39008,Academy of Art University,108232,6786
0,0,Academy of Chinese Culture and Health Sciences,108269,111
34535,42563,College of Alameda,108667,5673
33531,42786,Allan Hancock College,108807,10329
17742,27019,American Academy of Dramatic Arts-Los Angeles,108852,220
0,0,Berkeley School of Theology,108861,88
0,0,American Film Institute Conservatory,108870,423
20569,22481,American Beauty College,108977,234
35013,38430,American Career College-Los Angeles,109040,1969
34072,40162,American River College,109208,27422
28110,36526,Antelope Valley Community College District,109350,11840
53562,71958,Art Center College of Design,109651,2420
20840,24368,Associated Technical College-Los Angeles,109721,202
22561,26688,Associated Technical College-San Diego,109730,94
56794,66677,Azusa Pacific University,109785,7169
29867,37291,Bakersfield College,109819,26873
30462,35104,Barstow Community College,109907,2884
19304,23576,Bellus Academy-Chula Vista,109934,398
37397,0,Bethesda University,110060,264
45752,56778,Biola University,110097,5387
63011,68767,Brownson Technical School,110194,264
32146,40283,Bryan University,110219,1767
33709,41810,Butte College,110246,9362
56360,48848,California Institute of Integral Studies,110316,2141
34990,44114,Cabrillo College,110334,9149
52336,61504,California Baptist University,110361,11495
38308,49414,California College of the Arts,110370,1501
0,0,University of California College of the Law-San Francisco,110398,1193
132140,128566,California Institute of Technology,110404,2401
54981,68712,California Lutheran University,110413,3615
72358,90768,California Polytechnic State University-San Luis Obispo,110422,22000
47218,66666,Alliant International University-San Diego,110468,3599
44282,59009,California State University-Bakersfield,110486,9613
47793,63188,California State University-Stanislaus,110495,10154
43149,59977,California State University-San Bernardino,110510,19803
54466,71902,California State Polytechnic University-Pomona,110529,27503
50493,64172,California State University-Chico,110538,14183
46827,57162,California State University-Dominguez Hills,110547,16426
44012,61244,California State University-Fresno,110556,23999
48558,62951,California State University-Fullerton,110565,40386
55546,71401,California State University-East Bay,110574,13673
50062,64403,California State University-Long Beach,110583,38973
45702,59211,California State University-Los Angeles,110592,26460
44372,59115,California State University-Northridge,110608,37579
51074,64876,California State University-Sacramento,110617,31818
74919,92446,University of California-Berkeley,110635,45307
58461,80838,University of California-Davis,110644,39679
56210,80735,University of California-Irvine,110653,35937
59063,82511,University of California-Los Angeles,110662,46430
48593,67699,University of California-Riverside,110671,26809
65669,84943,University of California-San Diego,110680,42006
0,0,University of California-San Francisco,110699,3140
56852,74915,University of California-Santa Barbara,110705,26420
49716,68396,University of California-Santa Cruz,110714,19478
0,0,Sofia University,110778,948
19518,22255,California Beauty School,110875,55
0,0,Haven University,111045,80
15702,19347,California Hair Design Academy,111054,144
28018,41198,California Institute of the Arts,111081,1440
84676,94784,California State University Maritime Academy,111188,849
0,0,California Western School of Law,111391,623
42044,50087,Canada College,111434,5388
37697,49022,College of the Canyons,111461,18075
19925,24410,Career Academy of Beauty,111513,205
50197,49854,Casa Loma College-Los Angeles,111638,415
33264,32986,CET-San Diego,111708,196
33264,32986,CET-San Jose,111717,183
33264,32986,CET-El Centro,111726,148
33264,32986,CET-Colton,111744,96
33264,32986,CET-Watsonville,111762,103
33264,32986,CET-Salinas,111799,157
32581,41156,Cerritos College,111887,19469
29462,34963,Cerro Coso Community College,111896,4919
40674,48143,Chabot College,111920,10736
33265,42975,Chaffey College,111939,19238
58080,70070,Chapman University,111948,10014
60939,83438,Charles R Drew University of Medicine and Science,111966,777
53777,65083,Concordia University-Irvine,112075,3744
39848,49766,San Diego Christian College,112084,355
0,0,Church Divinity School of the Pacific,112127,64
34753,42065,Citrus College,112172,9975
18681,0,Citrus Heights Beauty College,112181,143
34896,45805,City College of San Francisco,112190,16134
0,64372,Claremont Graduate University,112251,1903
87603,104736,Claremont McKenna College,112260,1389
28817,32493,Milan Institute-Visalia,112288,489
42777,50098,Clovis Adult Education,112367,210
42638,44483,Coastline Community College,112385,8077
39802,51017,University of Silicon Valley,112394,390
17269,21208,Coba Academy,112455,111
0,0,Western University of Health Sciences,112525,3724
32510,39035,Columbia College,112561,2349
33350,42014,California College of ASU,112570,291
28922,34181,Compton College,112686,4082
34342,40850,Contra Costa College,112826,5832
33490,42446,Cosumnes River College,113096,13294
35077,42553,Crafton Hills College,113111,5113
38541,46047,Cuesta College,113193,9908
29836,32435,Cuyamaca College,113218,8043
35285,43533,Cypress College,113236,13523
43179,56596,De Anza College,113333,16335
15318,19799,International School of Beauty Inc,113449,186
31085,39020,College of the Desert,113573,10382
46916,46920,Design Institute of San Diego,113582,101
0,0,Dharma Realm Buddhist University,113616,
38306,51378,Diablo Valley College,113634,16097
71477,84713,Dominican University of California,113698,1877
0,0,Dominican School of Philosophy & Theology,113704,62
33032,42006,East Los Angeles College,113856,27855
30790,41589,El Camino Community College District,113980,19944
0,0,Emperor's College of Traditional Oriental Medicine,114114,198
45445,43090,Empire College,114123,78
39807,53077,Evergreen Valley College,114266,7952
40974,49840,FIDM-Fashion Institute of Design & Merchandising,114354,914
33495,38142,Feather River Community College District,114433,1383
26329,29856,Federico Beauty Institute,114460,293
0,0,Fielding Graduate University,114549,1000
0,0,Five Branches University,114585,335
0,0,Redondo Beach Beauty College,114637,78
48920,57072,Foothill College,114716,12844
0,0,Franciscan School of Theology,114734,66
17889,21826,Fredrick and Charles Beauty College,114761,72
30049,37361,Fresno City College,114789,22609
51422,58896,Fresno Pacific University,114813,3032
0,0,Fuller Theological Seminary,114840,2089
34531,43366,Fullerton College,114859,18370
37804,47169,Gavilan College,114938,4561
43110,42588,Gemological Institute of America-Carlsbad,114947,154
32387,41540,Glendale Community College,115001,10658
38921,41472,Glendale Career College,115010,661
81704,87434,Golden Gate University,115083,2661
34462,43145,Golden West College,115126,10053
0,0,Graduate Theological Union,115214,172
31861,40309,Grossmont College,115296,12862
17045,21777,Salon Success Academy-Riverside,115357,171
36065,44316,Hartnell College,115393,8892
115107,138687,Harvey Mudd College,115409,922
25207,25477,Hilltop Beauty School,115658,102
0,0,Pacifica Graduate Institute,115746,851
37382,47626,California State Polytechnic University-Humboldt,115755,6025
40569,39248,Humphreys University-Stockton and Modesto Campuses,115773,393
28114,34487,Imperial Valley College,115861,7747
41768,38015,Institute for Business and Technology,115931,614
51615,54974,Interior Designers Institute,116226,96
35124,49156,Irvine Valley College,116439,10464
17642,30807,Bellus Academy-El Cajon,116563,187
0,61954,American Jewish University,116846,108
